"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1946157073","Halton","E06000006","local authorities: district / unitary (prior to April 2015)",464,16,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",5151,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157073d0d8d20100",33,696
"2011","2011","2011","date",0,0,"1946157074","Warrington","E06000007","local authorities: district / unitary (prior to April 2015)",464,17,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",107765,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157074d0d1d20100",34,696
"2011","2011","2011","date",0,0,"1946157074","Warrington","E06000007","local authorities: district / unitary (prior to April 2015)",464,17,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",5961,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157074d0d8d20100",35,696
"2011","2011","2011","date",0,0,"1946157075","Allerdale","E07000026","local authorities: district / unitary (prior to April 2015)",464,18,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",48904,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157075d0d1d20100",36,696
"2011","2011","2011","date",0,0,"1946157075","Allerdale","E07000026","local authorities: district / unitary (prior to April 2015)",464,18,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",2553,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157075d0d8d20100",37,696
"2011","2011","2011","date",0,0,"1946157076","Barrow-in-Furness","E07000027","local authorities: district / unitary (prior to April 2015)",464,19,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",33897,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157076d0d1d20100",38,696
"2011","2011","2011","date",0,0,"1946157076","Barrow-in-Furness","E07000027","local authorities: district / unitary (prior to April 2015)",464,19,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",2365,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157076d0d8d20100",39,696
"2011","2011","2011","date",0,0,"1946157077","Carlisle","E07000028","local authorities: district / unitary (prior to April 2015)",464,20,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",57210,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157077d0d1d20100",40,696
"2011","2011","2011","date",0,0,"1946157077","Carlisle","E07000028","local authorities: district / unitary (prior to April 2015)",464,20,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",2847,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157077d0d8d20100",41,696
"2011","2011","2011","date",0,0,"1946157078","Copeland","E07000029","local authorities: district / unitary (prior to April 2015)",464,21,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",35335,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157078d0d1d20100",42,696
"2011","2011","2011","date",0,0,"1946157078","Copeland","E07000029","local authorities: district / unitary (prior to April 2015)",464,21,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",2235,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157078d0d8d20100",43,696
"2011","2011","2011","date",0,0,"1946157079","Eden","E07000030","local authorities: district / unitary (prior to April 2015)",464,22,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",28413,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157079d0d1d20100",44,696
"2011","2011","2011","date",0,0,"1946157079","Eden","E07000030","local authorities: district / unitary (prior to April 2015)",464,22,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",822,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157079d0d8d20100",45,696
"2011","2011","2011","date",0,0,"1946157080","South Lakeland","E07000031","local authorities: district / unitary (prior to April 2015)",464,23,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",53396,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157080d0d1d20100",46,696
